Participant, Room Humidity(RH), Mask on measurement (%RH), mask off measurement(%RH), Overall measured mask effectivity(%)
Tyler, 39.556487104281075, 1.9377944703347225, 14.256761893161915, 86.40789202445639%
Tyler, 34.365882648515836, 6.917102819790202, 14.302703019777823, 51.63779314843349%
Tyler, 33.285923175044914, 8.36507218567445, 14.290845789471504, 41.46552059334899%
Tyler Aubin, 34.29240869439552, 0, 13.344326763103602, 100.0%
Tyler Aubin, 33.710556542937326, 7.284136036049048, 9.85350246928052, 26.0756664063543%
